year,peak flow
1960,255.7
1961,609.5
1962,460.8
1963,433.3
1964,460.8
1965,409.7
1966,440.1
1967,399.8
1968,277.8
1969,318.4
1970,272.2
1971,164
1972,361.2
1973,315.4
1974,269.4
1975,208.9
1976,266.7
1977,937.7
1978,333.4
1979,286.3
1980,312.4
1981,396.5
1982,339.5
1983,294.9
1984,330.4
1985,361.2
1986,283.753
1987,377.43
1988,286.31
1989,484.838
1990,432.238
1991,398.183
1992,372.954
1993,321.043
1994,686.246
1995,275.58
1996,501.375
1997,232.607
1998,372.317
1999,512.653
2000,478.787
2001,478.077
2002,563.018
2003,394.256
2004,724.391
2005,577.175
2006,419.075
2007,363.756
2008,411.062
2009,746.585
2010,408.075
2011,450.751
2012,444.887
2013,566.83
2014,326.445
2015,731.615
2016,290.88
2017,564.542
2018,303.317
