year,peak flow
1960,71.991
1961,226.61
1962,124.512
1963,140.983
1964,135.415
1965,133.576
1966,145.682
1967,115.67
1968,72.734
1969,110.473
1970,81.85
1971,59.078
1972,100.33
1973,160.092
1974,140.049
1975,60.469
1976,160.092
1977,196.535
1978,105.359
1979,118.299
1980,97.846
1981,108.76
1982,145.682
1983,114.798
1984,129.017
1985,104.515
1986,120.24
1987,198.95
1988,103.086
1989,150.338
1990,142.199
1991,122.459
1992,153.021
1993,114.45
1994,210.422
1995,93.837
1996,180.123
1997,80.537
1998,97.517
1999,189.559
2000,146.249
2001,148.146
2002,111.937
2003,103.337
2004,211.388
2005,145.682
