year,peak flow
1959,736.015
1960,753.374
1961,1122.62
1962,1176.14
1963,1080.37
1964,771.668
1965,974.097
1966,961.345
1967,717.464
1968,824.881
1969,741.343
1970,603.316
1971,406.556
1972,668.379
1973,669.67
1974,667.604
1975,406.999
1976,587.378
1977,1091.19
1978,779.782
1979,725.661
1980,640.932
1981,1518.66
1982,855.662
1983,805.378
1984,1103.55
1985,873.209
1986,572.558
1987,835.933
1988,572.558
1989,788.789
1990,868.306
1991,1313.14
1992,833.652
1993,705.976
1994,960.098
1995,683.657
1996,936.99
1997,499.556
1998,1084.54
1999,768.269
2000,1118.65
2001,1011.23
2002,1471.45
2003,873.737
2004,1310.59
2005,1096.99
2006,798.546
2007,1117.43
2008,705.436
2009,1205.47
2010,842.422
2011,768.269
2012,778.788
2013,946.917
2014,608.262
2015,1360.64
2016,735.852
2017,1061.556
2018,645.662
