year,peak flow
1947,347.237
1948,426.965
1949,244.19
1950,244.19
1951,222.705
1952,96.661
1953,251.972
1954,335.366
1955,225.189
1956,164.438
1957,146.346
1958,132.121
1959,134.69
1960,187.065
1961,426.077
1962,163.398
1963,208.912
1964,232.241
1965,233.258
1966,190.912
1967,169.882
1968,109.043
1969,134.546
1970,130.328
1971,80.248
1972,138.817
1973,183.828
1974,174.036
1975,77.953
1976,149.613
1977,316.288
1978,165.284
1979,173.119
1980,148.571
1981,205.014
1982,217.257
1983,174.067
1984,260.929
1985,160.859
1986,151.895
1987,253.06
1988,133.152
1989,203.956
1990,266.135
1991,190.098
1992,182.569
1993,146.447
1994,404.682
1995,123.147
1996,226.335
1997,120.715
1998,137.905
1999,242.866
2000,179.196
2001,169.766
2002,175.735
2003,143.235
2004,325.031
2005,202.867
2006,189.474
2007,162.249
2008,196.163
2009,365.007
2010,175.179
2011,186.761
2012,143.338
2013,354.169
2014,186.192
2015,499.987
2016,126.384
2017,235.823
2018,142.822
