year,peak flow
1969,630.777
1970,615.098
1971,350.629
1972,673.183
1973,620.071
1974,622.563
1975,380.088
1976,597.111
1977,1169.764
1978,735.866
1979,683.116
1980,557.291
1981,1328.84
1982,863.365
1983,718.495
1984,980.975
1985,848.912
1986,514.525
1987,801.009
1988,552.174
1989,784.626
1990,848.912
1991,1018.418
1992,804.536
1993,578.631
1994,925.39
1995,605.903
1996,910.554
1997,449.179
1998,888.47
1999,676.488
2000,913.843
2001,832.564
2002,1321.746
2003,766.444
2004,1314.666
2005,1017.561
2006,735.486
2007,682.01
2008,688.473
2009,1138.779
2010,750.906
2011,693.103
2012,699.047
2013,879.936
2014,567.924
2015,1282.282
2016,557.633
2017,982.877
2018,552.174
